,OBJECTID,Id,Landuse,Open_space,Landuse_n,Landuse_AN,FID_final_,Shape_Leng,Shape_Area
0,1,33,2,0,12,R2,0,772.861917156,23072.7397446
1,2,33,20,0,52,M2,0,195.262446818,2073.70204027
2,3,33,2,0,12,R2,0,543.777119819,9602.66325714
3,4,33,2,0,12,R2,0,903.576796895,14362.7455578
4,5,33,25,0,71,T1,0,1538.12474554,4851.42737065
5,6,33,2,0,12,R2,0,22.2588638148,2.74128267666
6,7,33,2,0,12,R2,0,84.3366423381,11.2787735075
7,8,33,23,0,62,P2,0,241.870710841,3944.90992276
8,9,33,15,0,44,PS4,0,665.689561103,22322.7188707
9,10,33,1,0,11,R1,0,225.375029452,2525.77943703
10,11,33,1,0,11,R1,0,893.511118307,43965.5161691
11,12,33,25,0,71,T1,0,230.50776891,972.398815596
12,13,33,25,0,71,T1,0,287.408203491,837.128595185
13,14,33,23,0,62,P2,0,161.9429826,1255.29326645
14,15,33,2,0,12,R2,0,508.692792872,8862.0855322
15,16,33,25,0,71,T1,0,852.508084299,2201.16873983
16,17,33,2,0,12,R2,0,683.73707057,11886.4176637
17,18,33,25,0,71,T1,0,260.859149154,755.49039826
18,19,33,25,0,71,T1,0,123.983378659,279.190319281
19,20,33,2,0,12,R2,0,696.907697275,11602.8172352
20,21,33,25,0,71,T1,0,576.070821591,1815.49984451
21,22,33,25,0,71,T1,0,288.994430738,955.448983821
22,23,33,23,0,62,P2,0,134.731834302,1021.84331536
23,24,33,2,0,12,R2,0,684.707428187,11855.6050768
24,25,33,25,0,71,T1,0,254.521708252,804.254789418
25,26,33,25,0,71,T1,0,111.448478197,373.972505396
26,27,33,2,0,12,R2,0,562.871603957,7970.89974833
27,28,33,2,0,12,R2,0,695.086098675,12349.6235748
28,29,33,25,0,71,T1,0,1188.5949348,3756.33476648
29,30,33,25,0,71,T1,0,392.554587635,1188.4678948
30,31,33,23,0,62,P2,0,142.764119542,1111.00721219
31,32,33,45,0,105,S5,0,76.7240508839,342.525054096
32,33,33,2,0,12,R2,0,245.185247346,3375.69405311
33,34,33,45,0,105,S5,0,77.5582617684,355.241022987
34,35,33,45,0,105,S5,0,76.524306379,343.070822018
35,36,33,45,0,105,S5,0,79.3612408552,371.447140608
36,37,33,2,0,12,R2,0,6.3307803058,0.117441140039
37,38,33,45,0,105,S5,0,85.1585336152,454.195621627
38,39,33,1,0,11,R1,0,209.640606249,1827.24984315
39,40,33,45,0,105,S5,0,136.494195854,929.016215471
40,41,33,45,0,105,S5,0,97.9808625481,598.717125429
41,42,33,45,0,105,S5,0,97.7398508052,607.786460757
42,43,33,2,0,12,R2,0,1305.57765759,20712.7230021
43,44,33,25,0,71,T1,0,527.79222794,1807.41562747
44,45,33,20,0,52,M2,0,68.8061822927,275.643106492
45,46,33,25,0,71,T1,0,915.723499375,3059.99293222
46,47,33,2,0,12,R2,0,551.907689762,7691.89330998
47,48,33,2,0,12,R2,0,579.250543213,9523.16460573
